R, Vrot, Error
20.0, 150.0, 10.5
25.0, 235.5, 17.8
30.0, 242.9, 0.8	
35.0, 251.1, 0.7	
40.0, 262.0, 2.1	
45.0, 258.9, 6.9	
50.0, 255.1, 5.7	
55.0, 251.8, 17.1
60.0, 252.1, 7.4	
65.0, 251.0, 18.6
70.0, 245.5, 28.8
75.0, 232.8, 1.0	
80.0, 232.0, 14.2
85.0, 235.7, 4.6	
90.0, 229.3, 13.8
94.5 , 227.6, 28.8
99.0 , 226.0, 28.8
103.5, 225.7, 28.8
108.0, 227.5, 28.8
112.5, 227.4, 28.8
117.0, 225.6, 28.8
121.5, 224.4, 28.8
126.0, 222.3, 28.8
130.5, 222.1, 28.8
135.0, 224.9, 28.8
139.5, 228.1, 28.8
144.0, 231.1, 28.8
148.5, 230.4, 28.8
153.0, 226.8, 28.8